maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1678364011,0,0,0
1678364014,0,0,0
1678364015,0,0,0
1678364016,0,0,0
1678364017,0,0,0
1678364018,0,0,0
1678364019,0,0,0
1678364020,0,0,0
1678364021,0,0,0
1678364022,0,0,0
1678364023,0,0,0
1678364024,0,0,0
1678364025,0,0,0
1678364026,0,0,0
1678364027,0,0,0
1678364028,0,0,0
1678364029,0,0,0
1678364030,0,0,0
1678364031,0,0,0
1678364032,0,0,0
1678364033,0,0,0
1678364034,0,0,0
1678364035,0,0,0
1678364036,0,0,0
1678364037,0,0,0
1678364038,0,0,0
1678364039,0,0,0
1678364040,0,0,0
1678364041,0,0,0
1678364042,0,0,0
1678364043,0,0,0
1678364044,0,0,0
1678364045,0,0,0
1678364046,0,0,0
1678364047,0,0,0
1678364048,0,0,0
1678364049,0,0,0
1678364050,0,0,0
1678364051,0,0,0
1678364052,0,0,0
1678364053,0,0,0
1678364054,1,1,0
1678364055,2,2,0
1678364056,4,3,0
1678364057,6,7,0
1678364058,7,7,0
1678364059,10,7,0
1678364060,12,7,0
1678364061,14,7,0
1678364062,15,86,0
1678364063,15,110,0
1678364064,16,175,0
1678364065,17,175,0
1678364066,19,176,0
1678364067,22,176,0
1678364068,24,176,0
1678364069,28,176,0
1678364070,30,193,0
1678364071,31,305,0
1678364072,31,371,0
1678364073,33,386,0
1678364074,36,386,0
1678364075,40,397,0
1678364076,41,457,0
1678364077,43,489,0
1678364078,43,530,0
1678364079,45,530,0
1678364080,47,561,0
1678364081,48,569,0
1678364082,50,569,0
1678364083,53,569,0
1678364084,55,570,0
1678364085,58,570,0
1678364086,60,571,0
1678364087,63,571,0
1678364088,65,571,0
1678364089,67,571,0
1678364090,69,571,0
1678364091,69,577,0
1678364092,71,579,0
1678364093,72,587,0
1678364094,73,605,0
1678364095,75,623,0
1678364096,78,630,0
1678364097,80,630,0
1678364098,85,630,0
1678364099,87,685,0
1678364100,89,724,0
1678364101,91,737,0
1678364102,95,740,0
1678364103,96,770,0
1678364104,98,807,0
1678364105,100,838,0
1678364106,102,871,0
1678364107,105,871,0
1678364108,107,883,0
1678364109,109,900,0
1678364110,111,900,0
1678364111,112,900,0
1678364112,114,904,0
1678364113,115,904,0
1678364114,116,923,0
1678364115,118,958,0
1678364116,121,973,0
1678364117,125,975,0
1678364118,126,1017,0
1678364119,129,1032,0
1678364120,131,1034,0
1678364121,135,1034,0
1678364122,137,1039,0
1678364123,139,1040,0
1678364124,142,1041,0
1678364125,144,1042,0
1678364126,146,1045,0
1678364127,147,1048,0
1678364128,149,1089,0
1678364129,150,1095,0
1678364130,153,1096,0
1678364131,156,1096,0
1678364132,158,1096,0
1678364133,161,1096,0
1678364134,164,1096,0
1678364135,165,1105,0
1678364136,166,1134,0
1678364137,166,1154,0
1678364138,168,1154,0
1678364139,169,1189,0
1678364140,170,1224,0
1678364141,173,1234,0
1678364142,174,1270,0
1678364143,177,1272,0
1678364144,180,1272,0
1678364145,183,1275,0
1678364146,185,1292,0
1678364147,188,1296,0
1678364148,191,1304,0
1678364149,193,1305,0
1678364150,196,1305,0
1678364151,199,1307,0
1678364152,202,1307,0
1678364153,206,1308,0
1678364154,209,1311,0
1678364155,212,1323,0
1678364156,214,1325,0
1678364157,217,1334,0
1678364158,220,1340,0
1678364159,222,1374,0
1678364160,225,1382,0
1678364161,228,1383,0
1678364162,230,1401,0
1678364163,232,1416,0
1678364164,234,1418,0
1678364165,238,1418,0
1678364166,240,1439,0
1678364167,243,1451,0
1678364168,247,1451,0
1678364169,250,1455,0
1678364170,251,1470,0
1678364171,254,1471,0
1678364172,255,1503,0
1678364173,257,1513,0
1678364174,260,1514,0
1678364175,263,1514,0
1678364176,265,1514,0
1678364177,267,1515,0
1678364178,269,1515,0
1678364179,270,1524,0
1678364180,272,1527,0
1678364181,274,1527,0
1678364182,276,1527,0
1678364183,278,1527,0
1678364184,280,1527,0
1678364185,282,1527,0
1678364186,285,1527,0
1678364187,287,1527,0
1678364188,290,1527,0
1678364189,292,1527,0
1678364190,294,1528,0
1678364191,297,1528,0
1678364192,299,1528,0
1678364193,302,1528,0
1678364194,304,1528,0
1678364195,307,1528,0
1678364196,309,1528,0
1678364197,311,1535,0
1678364198,313,1535,0
1678364199,317,1535,0
1678364200,319,1535,0
1678364201,322,1535,0
1678364202,324,1535,0
1678364203,327,1535,0
1678364204,329,1536,0
1678364205,330,1565,0
1678364206,332,1583,0
1678364207,333,1583,0
1678364208,335,1583,0
1678364209,336,1614,0
1678364210,337,1632,0
1678364211,340,1632,0
1678364212,345,1632,0
1678364213,347,1658,0
1678364214,350,1659,0
1678364215,352,1663,0
1678364216,354,1673,0
1678364217,357,1673,0
1678364218,361,1673,0
1678364219,363,1681,0
1678364220,364,1700,0
1678364221,366,1700,0
1678364222,368,1700,0
1678364223,371,1700,0
1678364224,372,1705,0
1678364225,375,1710,0
1678364226,377,1754,0
1678364227,380,1756,0
1678364228,383,1756,0
1678364229,387,1756,0
1678364230,390,1756,0
1678364231,392,1769,0
1678364232,395,1771,0
1678364233,397,1771,0
1678364234,399,1793,0
1678364235,401,1796,0
1678364236,403,1800,0
1678364237,406,1814,0
1678364238,408,1819,0
1678364239,410,1819,0
1678364240,412,1854,0
1678364241,414,1917,0
1678364242,415,1921,0
1678364243,418,1930,0
1678364244,419,1958,0
1678364245,421,1968,0
1678364246,423,2001,0
1678364247,426,2005,0
1678364248,428,2022,0
1678364249,430,2025,0
1678364250,433,2028,0
1678364251,435,2029,0
1678364252,438,2038,0
1678364253,440,2053,0
1678364254,442,2068,0
1678364255,445,2068,0
1678364256,448,2078,0
1678364257,450,2084,0
1678364258,453,2088,0
1678364259,456,2094,0
1678364260,459,2110,0
1678364261,461,2111,0
1678364262,464,2115,0
